Feature,Importance
country_Russia,0.22193701833682986
country_China,0.22024753227939273
country_Nigeria,0.1284211610043664
transaction_amount,0.04418954956889662
amount_log,0.04206992559445479
country_India,0.026749279615998423
country_Germany,0.026046064112568327
country_UK,0.025791046021008675
country_USA,0.0250846345079066
amount_category,0.024235369570472766
country_France,0.024163412109960366
country_Mexico,0.02415639669538281
country_Brazil,0.0235499537297234
country_Canada,0.022288936086349617
frequency_amount_ratio,0.01967549173253806
high_amount_flag,0.019199716554143428
customer_std_amount,0.009694546933144884
customer_avg_amount,0.00961064191160144
customer_max_amount,0.009462560731421488
transaction_day,0.006775078788088214
